phase,command,sweep_dir,sweep_index,t_ms,rel_steps,as5600_raw_mean,as5600_raw_std,as5600_deg_wrapped,as5600_deg_unwrapped,iphone_theta_deg,driver_enabled,forward_sign,lower_valid,upper_valid
endpoint,L,endpoint,0,114109,0,3879.0,0.0,340.92773,340.92773,2.4,1,0,1,0
endpoint,U,endpoint,0,188656,0,3304.0,0.0,290.39062,290.39062,1.3,1,-1,1,1
sweep,N,forward,0,203851,-4,3309.0,0.0,290.83007,290.83007,1.3,1,-1,1,1
sweep,N,forward,1,218700,-8,3313.922,0.268,291.26266,291.26266,1.3,1,-1,1,1
sweep,N,forward,2,224967,-12,3319.0,0.0,291.70898,291.70898,1.2,1,-1,1,1
sweep,N,forward,3,231307,-16,3324.515,0.5,292.19372,292.19372,1.2,1,-1,1,1
sweep,N,forward,4,237959,-20,3330.0,0.0,292.67578,292.67578,1.2,1,-1,1,1
sweep,N,forward,5,246388,-24,3335.297,0.457,293.14135,293.14135,1.2,1,-1,1,1
sweep,N,forward,6,253001,-28,3340.422,0.494,293.59176,293.59176,1.1,1,-1,1,1
sweep,N,forward,7,257640,-32,3345.0,0.0,293.99414,293.99414,1.1,1,-1,1,1
sweep,N,forward,8,261835,-36,3349.0,0.0,294.3457,294.3457,1.1,1,-1,1,1
sweep,N,forward,9,266946,-40,3354.016,0.124,294.78656,294.78656,1.1,1,-1,1,1
sweep,N,forward,10,271133,-44,3359.079,0.268,295.2315,295.2315,1.0,1,-1,1,1
sweep,N,forward,11,276548,-48,3365.0,0.0,295.75195,295.75195,1.0,1,-1,1,1
sweep,N,forward,12,281197,-52,3370.984,0.124,296.27789,296.27789,1.0,1,-1,1,1
sweep,N,forward,13,284912,-56,3376.0,0.0,296.71875,296.71875,1.9,1,-1,1,1
sweep,N,forward,14,295193,-60,3381.0,0.0,297.1582,297.1582,0.9,1,-1,1,1
sweep,N,forward,15,299644,-64,3385.609,0.488,297.56332,297.56332,0.9,1,-1,1,1
sweep,N,forward,16,304319,-68,3390.016,0.124,297.95062,297.95062,0.8,1,-1,1,1
sweep,N,forward,17,309853,-72,3395.0,0.0,298.38867,298.38867,0.8,1,-1,1,1
sweep,N,forward,18,315159,-76,3400.0,0.0,298.82812,298.82812,0.8,1,-1,1,1
sweep,N,forward,19,319852,-80,3405.703,0.457,299.3294,299.3294,0.7,1,-1,1,1
sweep,N,forward,20,326265,-84,3412.0,0.0,299.88281,299.88281,0.7,1,-1,1,1
sweep,N,forward,21,331302,-88,3417.0,0.0,300.32226,300.32226,0.7,1,-1,1,1
sweep,N,forward,22,337547,-92,3421.859,0.348,300.74932,300.74932,0.7,1,-1,1,1
sweep,N,forward,23,342325,-96,3426.0,0.0,301.11328,301.11328,0.7,1,-1,1,1
sweep,N,forward,24,348758,-100,3431.0,0.0,301.55273,301.55273,0.6,1,-1,1,1
sweep,N,forward,25,353062,-104,3436.0,0.0,301.99218,301.99218,0.6,1,-1,1,1
sweep,N,forward,26,358433,-108,3441.0,0.0,302.43164,302.43164,0.5,1,-1,1,1
sweep,N,forward,27,368707,-112,3446.953,0.211,302.95483,302.95483,0.5,1,-1,1,1
