phase,command,sweep_dir,sweep_index,t_ms,rel_steps,as5600_raw_mean,as5600_raw_std,as5600_deg_wrapped,as5600_deg_unwrapped,iphone_theta_deg,driver_enabled,forward_sign,lower_valid,upper_valid
endpoint,L,endpoint,0,62905,0,3897.016,0.124,342.51116,342.51116,3.0,1,-1,1,0
sweep,B,reverse,0,75129,8,3889.0,0.0,341.80664,341.80664,2.9,1,-1,1,0
sweep,B,reverse,1,80841,16,3880.0,0.0,341.01562,341.01562,2.8,1,-1,1,0
sweep,B,reverse,2,87112,24,3870.0,0.0,340.13671,340.13671,2.8,1,-1,1,0
sweep,B,reverse,3,92142,32,3858.0,0.0,339.08203,339.08203,2.7,1,-1,1,0
sweep,B,reverse,4,97858,40,3848.0,0.0,338.20312,338.20312,2.6,1,-1,1,0
sweep,B,reverse,5,104520,48,3838.047,0.211,337.32836,337.32836,2.6,1,-1,1,0
sweep,B,reverse,6,108955,56,3828.0,0.0,336.44531,336.44531,2.5,1,-1,1,0
sweep,B,reverse,7,113502,64,3816.0,0.0,335.39062,335.39062,2.4,1,-1,1,0
sweep,B,reverse,8,117983,72,3806.0,0.0,334.51171,334.51171,2.3,1,-1,1,0
sweep,B,reverse,9,124851,80,3796.375,0.484,333.66574,333.66574,2.3,1,-1,1,0
sweep,B,reverse,10,128893,88,3786.0,0.0,332.7539,332.7539,2.2,1,-1,1,0
sweep,B,reverse,11,133164,96,3774.0,0.0,331.69921,331.69921,2.1,1,-1,1,0
sweep,B,reverse,12,140717,104,3764.0,0.0,330.82031,330.82031,2.0,1,-1,1,0
sweep,B,reverse,13,145718,112,3754.0,0.0,329.9414,329.9414,2.0,1,-1,1,0
sweep,B,reverse,14,150678,120,3744.0,0.0,329.0625,329.0625,1.9,1,-1,1,0
sweep,B,reverse,15,156612,128,3732.0,0.0,328.00781,328.00781,1.9,1,-1,1,0
sweep,B,reverse,16,161153,136,3722.0,0.0,327.1289,327.1289,1.8,1,-1,1,0
sweep,B,reverse,17,166005,144,3712.984,0.124,326.33648,326.33648,1.7,1,-1,1,0
sweep,B,reverse,18,170029,152,3702.0,0.0,325.37109,325.37109,1.7,1,-1,1,0
sweep,B,reverse,19,175940,160,3690.0,0.0,324.3164,324.3164,1.6,1,-1,1,0
sweep,B,reverse,20,181160,168,3680.0,0.0,323.4375,323.4375,1.5,1,-1,1,0
