phase,command,sweep_dir,sweep_index,t_ms,rel_steps,as5600_raw_mean,as5600_raw_std,as5600_deg_wrapped,as5600_deg_unwrapped,iphone_theta_deg,driver_enabled,forward_sign,lower_valid,upper_valid
sweep,B,reverse,21,186331,176,3671.0,0.0,322.64648,322.64648,1.4,1,-1,1,0
sweep,B,reverse,22,191475,184,3660.156,0.363,321.69345,321.69345,1.4,1,-1,1,0
sweep,B,reverse,23,197231,192,3649.0,0.0,320.71289,320.71289,1.3,1,-1,1,0
sweep,B,reverse,24,203374,200,3638.375,0.484,319.77905,319.77905,1.2,1,-1,1,0
sweep,B,reverse,25,208062,208,3629.016,0.124,318.95648,318.95648,1.1,1,-1,1,0
sweep,B,reverse,26,213012,216,3619.0,0.0,318.07617,318.07617,1.1,1,-1,1,0
sweep,B,reverse,27,218421,224,3607.0,0.0,317.02148,317.02148,1.0,1,-1,1,0
sweep,B,reverse,28,222282,232,3597.0,0.0,316.14257,316.14257,1.0,1,-1,1,0
sweep,B,reverse,29,226308,240,3588.0,0.0,315.35156,315.35156,0.9,1,-1,1,0
sweep,B,reverse,30,230982,248,3577.0,0.0,314.38476,314.38476,0.8,1,-1,1,0
sweep,B,reverse,31,236830,256,3565.969,0.174,313.41522,313.41522,0.7,1,-1,1,0
sweep,B,reverse,32,241289,264,3555.141,0.348,312.46359,312.46359,0.6,1,-1,1,0
sweep,B,reverse,33,245670,272,3546.0,0.0,311.66015,311.66015,0.5,1,-1,1,0
sweep,B,reverse,34,249939,280,3535.969,0.174,310.7785,310.7785,0.5,1,-1,1,0
sweep,B,reverse,35,253900,288,3524.0,0.0,309.72656,309.72656,0.4,1,-1,1,0
sweep,B,reverse,36,258522,296,3514.0,0.0,308.84765,308.84765,0.3,1,-1,1,0
sweep,B,reverse,37,262849,304,3505.0,0.0,308.05664,308.05664,0.3,1,-1,1,0
sweep,B,reverse,38,270109,312,3495.0,0.0,307.17773,307.17773,0.2,1,-1,1,0
sweep,B,reverse,39,274348,320,3483.0,0.0,306.12304,306.12304,0.2,1,-1,1,0
sweep,B,reverse,40,278747,328,3473.032,0.174,305.24691,305.24691,0.1,1,-1,1,0
sweep,B,reverse,41,282615,336,3464.0,0.0,304.45312,304.45312,0.1,1,-1,1,0
sweep,B,reverse,42,286738,344,3454.0,0.0,303.57421,303.57421,0.0,1,-1,1,0
sweep,B,reverse,43,292202,352,3442.672,0.47,302.57855,302.57855,0.0,1,-1,1,0
sweep,B,reverse,44,297022,360,3432.516,0.5,301.68594,301.68594,0.1,1,-1,1,0
sweep,B,reverse,45,301506,368,3423.64,0.48,300.90588,300.90588,0.2,1,-1,1,0
sweep,B,reverse,46,306190,376,3413.422,0.494,300.00778,300.00778,0.2,1,-1,1,0
sweep,B,reverse,47,310233,384,3402.0,0.0,299.0039,299.0039,0.3,1,-1,1,0
sweep,B,reverse,48,315731,392,3392.0,0.0,298.125,298.125,0.4,1,-1,1,0
sweep,B,reverse,49,320179,400,3383.141,0.348,297.34634,297.34634,0.4,1,-1,1,0
sweep,B,reverse,50,328400,408,3373.0,0.0,296.45507,296.45507,0.5,1,-1,1,0
sweep,B,reverse,51,334291,416,3362.0,0.0,295.48828,295.48828,0.5,1,-1,1,0
sweep,B,reverse,52,340367,424,3352.0,0.0,294.60937,294.60937,0.5,1,-1,1,0
sweep,B,reverse,53,346916,432,3343.0,0.0,293.81835,293.81835,0.7,1,-1,1,0
sweep,B,reverse,54,351985,440,3333.0,0.0,292.93945,292.93945,0.7,1,-1,1,0
sweep,B,reverse,55,355528,448,3322.0,0.0,291.97265,291.97265,0.8,1,-1,1,0
sweep,B,reverse,56,359984,456,3312.0,0.0,291.09375,291.09375,0.9,1,-1,1,0
sweep,B,reverse,57,364296,464,3303.0,0.0,290.30273,290.30273,0.9,1,-1,1,0
sweep,B,reverse,58,368479,472,3293.0,0.0,289.42382,289.42382,1.0,1,-1,1,0
sweep,B,reverse,59,372413,480,3281.859,0.348,288.44464,288.44464,1.0,1,-1,1,0
sweep,B,reverse,60,380035,488,3272.0,0.0,287.57812,287.57812,1.1,1,-1,1,0
sweep,B,reverse,61,383536,496,3263.0,0.0,286.7871,286.7871,1.1,1,-1,1,0
sweep,B,reverse,62,388065,504,3253.0,0.0,285.9082,285.9082,1.2,1,-1,1,0
sweep,B,reverse,63,392859,512,3242.0,0.0,284.9414,284.9414,1.2,1,-1,1,0
sweep,B,reverse,64,402213,520,3232.0,0.0,284.0625,284.0625,1.3,1,-1,1,0
sweep,B,reverse,65,406665,528,3223.0,0.0,283.27148,283.27148,1.3,1,-1,1,0
sweep,B,reverse,66,411895,536,3213.0,0.0,282.39257,282.39257,1.4,1,-1,1,0
