********************************************************************************
Obsolete PIO Core v6.1.18 is used (previous was 6.1.19)
Please remove multiple PIO Cores from a system:
https://docs.platformio.org/en/latest/core/installation/troubleshooting.html
********************************************************************************
--- forcing DTR inactive
--- forcing RTS inactive
--- Terminal on /dev/cu.usbserial-A10N20X1 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
# ── Ball-and-Beam Controller ──────────────────
# SHARP_K      = 27.86 V·cm
# SHARP_OFFSET = 0.00 cm
# D_MIN        = 8.00 cm
# D_MAX        = 20.20 cm
# Setpoint     = 14.10 cm
# Kp = 20.00  Ki = 0.00  Kd = 3.00
# DT = 40 ms
# EMA_ALPHA    = 0.20
# STEP_LIMIT   = ±400 steps (±45.0°)
# DIR_SIGN     = -1
# Commands: S<d_cm>  R  H  C  ?
# ────────────────────────────────────────────────
t_ms,d_raw_cm,d_filt_cm,error_cm,integral_cms,p_steps,i_steps,d_steps,n_target,step_pos
13649,10.35,10.15,-3.949,-4.536,-78.98,0.00,3.64,-75,-75
13851,10.22,9.92,-4.179,-5.370,-83.59,0.00,5.53,-78,-78
14051,10.34,10.38,-3.716,-6.141,-74.32,0.00,-0.82,-75,-75
14252,11.56,10.74,-3.361,-6.866,-67.22,0.00,15.32,-52,-52
14449,11.50,11.38,-2.724,-7.439,-54.47,0.00,2.39,-52,-52
14651,13.63,12.45,-1.655,-7.879,-33.10,0.00,22.19,-11,-11
14850,13.30,13.06,-1.038,-8.114,-20.75,0.00,4.50,-16,-16
15049,15.90,14.67,0.573,-8.131,11.46,0.00,23.01,34,34
15254,16.07,15.02,0.923,-7.988,18.46,0.00,19.59,38,38
15455,15.98,16.25,2.149,-7.624,42.98,0.00,-5.08,38,38
15650,17.38,16.48,2.380,-7.211,47.60,0.00,16.84,64,64
15849,15.84,16.48,2.384,-6.687,47.68,0.00,-11.98,36,36
16050,17.61,16.90,2.796,-6.194,55.93,0.00,13.32,69,69
16250,15.18,16.13,2.027,-5.692,40.54,0.00,-17.75,23,23
16450,16.57,16.46,2.357,-5.244,47.14,0.00,2.12,49,49
16653,14.85,15.10,0.997,-4.955,19.95,0.00,-4.56,15,15
16852,13.01,14.34,0.242,-4.815,4.83,0.00,-24.89,-20,-20
17050,12.93,13.34,-0.758,-4.912,-15.16,0.00,-7.81,-23,-23
17250,11.05,12.25,-1.852,-5.173,-37.04,0.00,-22.42,-59,-59
17449,11.39,11.63,-2.469,-5.637,-49.39,0.00,-4.53,-54,-54
17649,10.05,10.76,-3.340,-6.227,-66.80,0.00,-13.25,-80,-80
17849,10.93,10.82,-3.281,-6.892,-65.62,0.00,1.99,-64,-64
18049,11.07,10.98,-3.123,-7.528,-62.47,0.00,1.72,-61,-61
18250,11.52,11.21,-2.887,-8.127,-57.74,0.00,5.67,-52,-52
18450,12.26,11.76,-2.342,-8.642,-46.84,0.00,9.39,-37,-37
18650,13.04,12.42,-1.677,-9.034,-33.54,0.00,11.51,-22,-22
18850,14.07,13.31,-0.786,-9.266,-15.73,0.00,14.26,-1,-1
19050,15.00,14.26,0.162,-9.308,3.24,0.00,13.85,17,17
19250,15.83,15.18,1.076,-9.161,21.52,0.00,12.33,34,34
19450,16.57,15.99,1.888,-8.846,37.76,0.00,10.91,49,49
19655,15.52,16.35,2.249,-8.394,44.99,0.00,-15.53,29,29
19850,16.51,15.92,1.819,-8.040,36.38,0.00,11.09,47,47
20050,14.74,15.68,1.582,-7.658,31.63,0.00,-17.68,14,14
20250,16.15,15.75,1.645,-7.362,32.91,0.00,7.55,40,40
20450,13.91,14.87,0.771,-7.110,15.42,0.00,-17.99,-3,-3
20649,14.94,14.92,0.819,-6.952,16.38,0.00,0.42,17,17
20853,13.78,13.86,-0.242,-6.936,-4.84,0.00,-1.52,-6,-6
21053,12.08,13.42,-0.682,-7.003,-13.63,0.00,-25.04,-39,-39
21250,13.11,12.83,-1.274,-7.255,-25.48,0.00,5.35,-20,-20
21449,12.10,12.61,-1.487,-7.509,-29.75,0.00,-9.57,-39,-39
21650,13.55,12.92,-1.183,-7.796,-23.67,0.00,11.83,-12,-12
21849,12.67,12.84,-1.255,-8.026,-25.11,0.00,-3.33,-28,-28
22050,14.79,13.89,-0.213,-8.157,-4.26,0.00,16.86,13,13
22253,14.65,13.88,-0.220,-8.220,-4.39,0.00,14.49,10,10
22451,14.09,14.49,0.392,-8.155,7.84,0.00,-7.50,0,0
22650,15.70,14.83,0.733,-8.073,14.66,0.00,16.31,31,31
22850,14.32,14.84,0.740,-7.887,14.80,0.00,-9.71,5,5
23049,15.83,15.24,1.139,-7.718,22.79,0.00,11.14,34,34
23251,13.80,14.49,0.387,-7.548,7.75,0.00,-12.85,-5,-5
23454,14.08,14.78,0.683,-7.411,13.66,0.00,-13.12,1,1
23650,14.31,14.17,0.073,-7.374,1.46,0.00,2.62,4,4
23852,13.07,13.95,-0.147,-7.353,-2.93,0.00,-16.63,-20,-20
24049,13.56,13.53,-0.573,-7.460,-11.46,0.00,0.54,-11,-11
24250,12.18,12.97,-1.127,-7.614,-22.54,0.00,-14.88,-37,-37
24450,13.30,12.99,-1.113,-7.861,-22.25,0.00,5.91,-16,-16
24652,12.72,12.55,-1.545,-8.145,-30.91,0.00,3.04,-28,-28
24852,12.88,13.04,-1.060,-8.386,-21.20,0.00,-2.97,-24,-24
25051,13.89,13.14,-0.964,-8.614,-19.28,0.00,14.06,-5,-5
25250,13.53,13.71,-0.390,-8.710,-7.81,0.00,-3.34,-11,-11
25451,15.24,14.26,0.159,-8.756,3.17,0.00,18.42,22,22
25650,13.40,14.16,0.058,-8.694,1.15,0.00,-14.27,-13,-13
25850,16.26,15.21,1.113,-8.577,22.26,0.00,19.69,42,42
26054,15.83,15.15,1.047,-8.376,20.93,0.00,12.88,34,34
26254,15.32,15.84,1.743,-8.053,34.87,0.00,-9.76,25,25
26450,16.19,15.60,1.495,-7.772,29.91,0.00,11.22,41,41
