as5600_deg_unwrapped,forward_theta_deg,reverse_theta_deg,reverse_minus_forward_deg
290.39062,-1.3,-0.9,0.4
290.83007,-1.3,-0.9,0.4
291.26266,-1.3,-0.8807816588917983,0.4192183411082018
291.70898,-1.2,-0.8299999999999994,0.37000000000000055
292.19372,-1.2,-0.7771338436077794,0.4228661563922206
292.67578,-1.2,-0.727272445179979,0.47272755482002093
293.14135,-1.2,-0.7,0.5
293.59176,-1.1,-0.7,0.40000000000000013
293.99414,-1.1,-0.6555535890369382,0.4444464109630619
294.3457,-1.1,-0.5666658238729715,0.5333341761270286
294.78656,-1.1,-0.5,0.6000000000000001
295.2315,-1.0,-0.5,0.5
295.75195,-1.0,-0.5,0.5
296.27789,-1.0,-0.5,0.5
297.1582,-0.9,-0.42110920372053046,0.47889079627946957
297.56332,-0.9,-0.4,0.5
297.95062,-0.8,-0.4,0.4
298.38867,-0.8,-0.37000000000000066,0.4299999999999994
298.82812,-0.8,-0.3199999999999974,0.48000000000000265
299.3294,-0.7,-0.2675758058732098,0.4324241941267902
299.88281,-0.7,-0.21244869904769637,0.4875513009523036
300.32226,-0.7,-0.2,0.49999999999999994
300.74932,-0.7,-0.2,0.49999999999999994
301.11328,-0.7,-0.1734123016178304,0.5265876983821696
301.55273,-0.6,-0.11707689152116774,0.48292310847883224
301.99218,-0.6,-0.06569162344136793,0.5343083765586321
302.43164,-0.5,-0.01645847570607463,0.4835415242939254
302.95483,-0.5,0.0,0.5
303.39843,-0.4,0.0,0.4
303.91888,-0.4,0.03921561934669083,0.43921561934669084
304.30889,-0.3,0.08358990112753409,0.3835899011275341
304.71679,-0.3,0.1,0.4
305.15625,-0.3,0.1,0.4
305.59429,-0.3,0.13964936710305448,0.43964936710305447
306.03515,-0.3,0.18996838368735042,0.4899683836873504
306.535,-0.3,0.2,0.5
307.00195,-0.2,0.2,0.4
307.52929,-0.2,0.23999954489083053,0.43999954489083054
307.88085,-0.2,0.2799990897816611,0.4799990897816611
308.32031,-0.1,0.3,0.4
308.75976,-0.1,0.3,0.4
